CIK NUMBER,COMPANY NAME,REPORTING FILE NUMBER,ADDRESS1,ADDRESS2,CITY,STATE CODE,ZIP CODE
1655660,OLD MISSION MARKETS LLC,869691,1 N DEARBORN ST,FL 8,CHICAGO,IL,60602
1656347,HAITONG SECURITIES USA LLC,869694,452 5TH AVE FL 23,,NEW YORK,NY,10018
1657672,"HILCO CORPORATE FINANCE, LLC",869699,5 REVERE DR STE 300,,NORTHBROOK,IL,60062
1657834,"CARTA SECURITIES, LLC",869701,333 BUSH ST FL 23,STE 2300,SAN FRANCISCO,CA,94104
1657974,J.P. MORGAN PRIME INC.,869703,1111 POLARIS PKWY,FL 2J,COLUMBUS,OH,43240
1658090,GENERAL WELLINGTON CAPITAL LLC,869705,295 MADISON AVE FL 43,,NEW YORK,NY,10017
1659056,"YUKI-CO, LLC",869709,2173 E WALKER LN,,SALT LAKE CTY,UT,84117
1660087,"WATCHDOG CAPITAL, LLC",869712,6250 SHILOH RD STE 30,,ALPHARETTA,GA,30005
1661001,WALLER HELMS SECURITIES LLC,869713,225 W WACKER DR,STE 500,CHICAGO,IL,60606
1661003,"LGA CAPITAL CRE, LLC",869715,6110 EXECUTIVE BLVD STE 1050,,ROCKVILLE,MD,20852
1661652,"BULL MARKET SECURITIES, INC.",869718,175 SW 7TH ST,STE 1616,MIAMI,FL,33130
1661994,ROBUS CAPITAL PARTNERS LLC,869721,301 CALLE DEL RECINTO S STE 204,,SAN JUAN,PR,901
1662919,"OCEAN PARK SECURITIES, LLC",869722,655 DEEP VALLEY DR,STE 340,RLLNG HLS EST,CA,90274
1663261,"BFIN FINANCIAL SERVICES, LLC",869727,440 S LA SALLE ST STE 900,,CHICAGO,IL,60605
1663262,ASTOR RIDGE N.A. LLP,869728,60 RUMSON RD,STE 10,RUMSON,NJ,7760
1663996,ARKADIOS CAPITAL,869729,309 E PACES FERRY RD NE,STE 1000,ATLANTA,GA,30305
1664778,"FIRST SOUTHERN, LLC",869733,2 CALLE TABONUCO STE 200,,GUAYNABO,PR,968
1664779,ACCEPTUS CAPITAL CORP.,869734,22 COUNTRY CLUB DR,,PRT WASHINGTN,NY,11050
1667858,FUTU INC,869739,720 UNIVERSITY AVE,STE 100,PALO ALTO,CA,94301
1668629,"SECURITIZE MARKETS, LLC",869743,110 WALL ST,FRNT 2,NEW YORK,NY,10005
1668630,OWL ROCK CAPITAL SECURITIES LLC,869744,575 LEXINGTON AVE,FL 21,NEW YORK,NY,10022
1670160,"MATTHEWS SOUTH, LLC",869751,1700 S EL CAMINO REAL STE 345,,SAN MATEO,CA,94402
1670332,"EXCHANGERIGHT SECURITIES, LLC",869753,1055 E COLORADO BLVD STE 310,,PASADENA,CA,91106
1670763,MIDDLEMARCH SECURITIES LLC,869758,700 CANAL ST,STE 1 BLDG 1,STAMFORD,CT,6902
1670928,COMCAP LLC,869759,77 VAN NESS AVE,APT 203,SAN FRANCISCO,CA,94102
1671202,ARDEA PARTNERS LP,869761,10 HUDSON YARDS,FL 40,NEW YORK,NY,10001
1671203,"GUOTAI JUNAN SECURITIES USA, INC.",869762,630 5TH AVE STE 2000,,NEW YORK,NY,10111
1671532,FRONTCOURT SECURITIES LLC,869764,180 MOUNT AIRY RD,STE 204,BASKING RIDGE,NJ,7920
1672433,"MARKET SECURITIES, LLC",869765,29750 N 75TH PL,# 17,SCOTTSDALE,AZ,85266
1673052,EQUITEQ SECURITIES LLC,869767,122 E 42ND ST,RM 3500,NEW YORK,NY,10168
1673412,VNTR SECURITIES LLC,869768,152 MADISON AVE FL 7,,NEW YORK,NY,10016
1673501,"ASCENDANT ALTERNATIVE STRATEGIES, LLC",869769,777 WESTCHESTER AVE,STE 105,WHITE PLAINS,NY,10604
1674053,"PENSIONMARK SECURITIES, LLC",869773,24 E COTA ST,STE 200,SANTA BARBARA,CA,93101
1674055,FOLIONET FINANCIAL LLC,869775,1221 BRICKELL AVE STE 900,,MIAMI,FL,33131
1674438,NEW HARBOR VENTURE PARTNERS LLC,869779,215 MORRIS AVE,STE 7,SPRING LAKE,NJ,7762
1675366,"JP DERIVATIVES, LLC",869788,14 WALL ST,FL 20,NEW YORK,NY,10005
1675367,"CITI PRIVATE ADVISORY, LLC",869789,388 GREENWICH ST,# 29,NEW YORK,NY,10013
1675798,ETFMG FINANCIAL LLC,869792,30 MAPLE ST STE 2,,SUMMIT,NJ,7901
1675888,ELEVATE CAPITAL LLC,869793,1200 BRICKELL AVE STE 1950,,MIAMI,FL,33131
1678092,INCENTER SECURITIES GROUP LLC,869803,489 5TH AVE,FL 11,NEW YORK,NY,10017
1678451,"BLOOM SECURITIES, LLC",869805,21500 BISCAYNE BLVD STE 403,,AVENTURA,FL,33180
1679010,"MENALTO ADVISORS, LLC",869806,101 JEFFERSON DR,,MENLO PARK,CA,94025
1679011,BUCKLER SECURITIES LLC,869807,3001 OCEAN DR STE 201,,VERO BEACH,FL,32963
1679990,"ABEL NOSER, LLC.",869809,1 BATTERY PARK # 6,,NEW YORK,NY,10004
1680133,CROWDFUNDER FINANCIAL SERVICES INC.,869810,477 MADISON AVE,FL 6,NEW YORK,NY,10022
1681288,"BLUESQUARE CAPITAL ADVISORS, LLC",869814,15 SHOOKVILLE RD,,MILAN,NY,12571
1681496,"EFG-HERMES USA, INC.",869816,200 VESEY ST,FL 24,NEW YORK,NY,10281
1681732,LSH PARTNERS SECURITIES LLC,869817,444 MADISON AVE,STE 2801,NEW YORK,NY,10022
1681735,SAF FINANCIAL SECURITIES LLC,869820,212 WARREN ST,APT 3G,NEW YORK,NY,10282
1682074,"TFA SECURITIES, INC.",869822,201 CONTINENTAL BLVD STE 110,,EL SEGUNDO,CA,90245
1683385,"FINANCIAL ADVOCATES SECURITIES, LLC",869827,1601 COOPER POINT RD NW,,OLYMPIA,WA,98502
1683671,"SPRINKLEBROKERAGE, INC.",869828,116 OGDEN AVE APT 3A,,JERSEY CITY,NJ,7307
1683672,"ANNEXUS SECURITIES, LLC",869829,16767 N PERIMETER DR,STE 320,SCOTTSDALE,AZ,85260
1683784,"GPP SECURITIES, LLC",869832,165 MASON ST STE 3,,GREENWICH,CT,6830
1683785,"MOBILITY SECURITIES, LLC",869833,6203 SAN IGNACIO AVE STE 110,,SAN JOSE,CA,95119
1684869,"HONEY BADGER INVESTMENT SECURITIES, LLC",869838,30 CORPORATE PARK STE 410,,IRVINE,CA,92606
1684995,MADISON GLOBAL PARTNERS LLC,869839,350 VANDERBILT MOTOR PKWY STE 205,,HAUPPAUGE,NY,11788
1686077,"BRIGHTHOUSE SECURITIES, LLC",869845,11225 N COMMUNITY HOUSE RD,,CHARLOTTE,NC,28277
1686173,"BIRCH LAKE PARTNERS, LP",869853,71 S WACKER DR STE 2425,,CHICAGO,IL,60606
1686268,"HERALD INVESTMENT MARKETING, LLC",869854,223 WILMINGTON W CHESTER PIKE,STE 216,CHADDS FORD,PA,19317
1687604,"METLIFE INVESTMENTS SECURITIES, LLC",869857,1 METLIFE WAY,,WHIPPANY,NJ,7981
1689899,"ALLIANCE-ONE INVESTMENTS, LLC",869868,4000 N MINGO RD,,TULSA,OK,74116
1690834,EUROPEAN FAMILY OFFICE INSTITUTE LLC.,869871,2299 NW 4TH AVE,,BOCA RATON,FL,33431
1690976,ASL CAPITAL MARKETS INC.,869872,600 SUMMER ST,STE 402,STAMFORD,CT,6901
1692244,THE TRANSPORTATION GROUP (SECURITIES) LIMITED,869878,122 E 42ND ST RM 2018,,NEW YORK,NY,10168
1692652,ONECHRONOS MARKETS LLC,869882,433 BROADWAY,STE 211,NEW YORK,NY,10013
1692970,QUILVEST CAPITAL PARTNERS SECURITIES LLC,869883,527 MADISON AVE FL 11,,NEW YORK,NY,10022
1694092,"MMX GLOBAL PARTNERS, LLC",869889,328 BARRY AVE S STE 205,,WAYZATA,MN,55391
1694094,"ALLARIA SECURITIES, LLC",869891,1110 BRICKELL AVE,STE 603,MIAMI,FL,33131
1695954,VISIONS ANALYSIS LLC,869898,24 MCKINLEY AVE,,ENDICOTT,NY,13760
1696344,"AMERICAN DISCOVERY ADVISORS, LLC",869899,11150 SANTA MONICA BLVD STE 1425,,LOS ANGELES,CA,90025
1696725,JIKO SECURITIES INC.,869902,2130 CENTER ST,STE 2,BERKELEY,CA,94704
1698389,STASH CAPITAL LLC,869908,75 VARICK ST,FL 8,NEW YORK,NY,10013
1698477,"TUDOR SECURITIES, LLC",869911,601 BRICKELL KEY DR STE 700,,MIAMI,FL,33131
