COMPANY_ID,NAME,CITY,STATE
429,HILDENE CAPITAL MANAGEMENT LLC,STAMFORD,CT
430,EMIL CAPITAL PARTNERS LLC,GREENWICH,CT
431,SOMA CAPITAL MANAGEMENT LLC,WASHINGTON D.C.,DC
432,PROVIDENCE STRATEGIC GROWTH CAPITAL PARTNERS LLC,BOSTON,MA
433,ARCHEGOS CAPITAL MANAGEMENT LP,NEW YORK,NY
434,LVM CAPITAL MANAGEMENT LTD,PORTAGE,MI
435,PARADICE INVESTMENT MANAGEMENT LLC,SAN RAMON,CA
436,TOWERS WATSON INVESTMENT SERVICES INC,NEW YORK,NY
437,GLOVISTA INVESTMENTS LLC,JERSEY CITY,NJ
438,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,MIAMI,FL
439,TWO HARBORS INVESTMENT CORP,NEW YORK,NY
440,DARSANA CAPITAL PARTNERS LP,NEW YORK,NY
441,AMP CAPITAL INVESTORS (US) LIMITED,CHICAGO,IL
442,PT ASSET MANAGEMENT LLC,CHICAGO,IL
443,ON DECK CAPITAL INC,NEW YORK,NY
444,AON INVESTMENTS USA INC,CHICAGO,IL
445,JONES ROAD CAPITAL MANAGEMENT LP,NEW YORK,NY
446,INCLUSIVE CAPITAL PARTNERS LP,SAN FRANCISCOC,CA
447,SPRUCEVIEW CAPITAL PARTNERS LLC,NEW YORK,NY
448,EJF CAPITAL LLC,ARLINGTON,VA
449,EMS CAPITAL LP,NEW YORK,NY
450,DOLL CAPITAL MANAGEMENT INC,MENLO PARK,CA
451,SB INVESTMENT ADVISERS US INC,SAN CARLOS,CA
452,SEPIO CAPITAL LP,ALAMO,CA
453,TIBER CAPITAL GROUP LLC,VIENNA,VA
454,DWS INVESTMENT MANAGEMENT AMERICAS INC,NEW YORK,NY
455,ZGC CAPITAL CORPORATION,SANTA CLARA,CA
456,SB INVESTMENT ADVISERS (US) INC,SAN CARLOS,CA
457,GOTHAM ASSET MANAGEMENT LLC,NEW YORK,NY
458,ANDES INVESTMENT CORP,MIAMI,FL
459,FDF ASSET MANAGEMENT LLC,BOSTON,MA
460,LM CAPITAL GROUP LLC,SAN DIEGO,CA
461,DMG INVESTMENTS LLC,NEW YORK,NY
462,AQR CAPITAL MANAGEMENT LLC,GREENWICH,CT
463,RUSSELL INVESTMENTS GROUP LLC,SEATTLE,WA
464,NN INVESTMENT PARTNERS NORTH AMERICA LLC,ATLANTA,GA
465,GROWTHCURVE CAPITAL LP,NEW YORK,NY
466,HARMONIA CAPITAL USA INC,SUGAR LAND,TX
467,BRANDES INVESTMENT PARTNERS LP,SAN DIEGO,CA
468,DLP REAL ESTATE CAPITAL INC,ST. AUGUSTINE,FL
469,NEW HOLLAND CAPITAL LLC,NEW YORK,NY
470,GENERATE CAPITAL INC,SAN FRANCISCO,CA
471,J GOLDMAN CAPITAL ADVISORS LP,NEW YORK,NY
472,AXONIC CAPITAL LLC,NEW YORK,NY
473,ALUA CAPITAL MANAGEMENT LP,NEW YORK,NY
474,BNP PARIBAS ASSET MANAGEMENT USA INC,NEW YORK,NY
475,ARC CAPITAL INC,NEW YORK,NY
476,NORTH ROCK CAPITAL MANAGEMENT LLC,NEW YORK,NY
477,MARWOOD ASSETS MANAGEMENT LLC,SAN JOSE,CA
478,TIGER PEAK CAPITAL HOLDINGS LLC,NEW YORK,NY
479,ASCENSION INVESTMENT MANAGEMENT LLC,ST. LOUIS,MO
480,OWL CREEK ASSET MANAGEMENT LP,NEW YORK,NY
481,ACADIAN ASSET MANAGEMENT LLC,BOSTON,MA
482,MERCER INVESTMENT CONSULTING INC,BOSTON,MA
483,ARISTEIA CAPITAL LLC,NEW YORK,NY
484,OPHIR ASSET MANAGEMENT US LLC,DENVER,CO
485,BARCLAYS BANK DELAWARE,WILMINGTON,DE
486,CROSS RIVER BANK,FORT LEE,NJ
487,FIFTH THIRD BANK NATIONAL ASSOCIATION,CINCINNATI,OH
488,ALLY BANK,DETROIT,MI
489,FEDERAL HOME LOAN BANK OF DES MOINES,DES MOINES,IA
490,AMG NATIONAL TRUST BANK,GREENWOOD VILLAGE,CO
491,OCEAN BANK,MIAMI,FL
492,FEDERAL HOME LOAN BANK OF INDIANAPOLIS,INDIANAPOLIS,IN
493,BREMER BANK NATIONAL ASSOCIATION,LAKE ELMO,MN
494,COOPERATIEVE RABOBANK UA,NEW YORK,NY
495,EVERBANK,JACKSONVILLE,FL
496,THE FEDERAL HOME LOAN BANK OF INDIANAPOLIS,INDIANAPOLIS,IN
497,EAST WEST BANK,PASADENA,CA
498,XENITH BANK,MCLEAN,VA
499,THE BANK OF NEW YORK MELLON,NEW YORK,NY
500,CIT BANK NA,PHOENIX,AZ
